name,num_vertices,min_x,max_x,min_y,max_y,min_z,max_z
branch,1365,-0.7910159826278687,0.8496090173721313,0.0,1.9003909826278687,-0.42382800579071045,0.46289101243019104
cylinder,192,-1.0,1.0,-1.0,1.0,-1.0,1.0
explosive,2844,-0.19962500035762787,0.19962500035762787,0.0,1.0,-0.19712600111961365,0.19712600111961365
fence,1090,-0.5,0.5,-0.0,0.8431699872016907,-0.02250000089406967,0.02250000089406967
girl,8400,-0.5,0.5,0.0,0.9044190049171448,-0.1814109981060028,0.1814109981060028
person,2027,-0.84375,0.8417969942092896,0.0,1.878906011581421,-0.21289099752902985,0.1835940033197403
table,3148,-0.20890599489212036,0.20890599489212036,0.0,0.6117609739303589,-0.5,0.5
talwar,1681,-0.031922001391649246,0.031922001391649246,0.0,1.0,-0.11714600026607513,0.11714600026607513
